Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
20-01-2021 11:25:43;00000000;Forex-Gutschrift;;;;1.0;358.89;0.00;0.00;358.89;EUR;358.89;31.47;EUR
20-01-2021 11:25:43;00000000;Forex-Belastung;;;;1.0;439.00;0.00;0.00;-439.00;USD;-439.00;-5.78;USD
20-01-2021 10:56:43;00000000;Buy;ETH;ETH;EX0X00ETH000;0.3;1'084.87;3.25;0.00;-328.71;EUR;-328.71;-327.42;EUR
19-01-2021 17:02:23;00000000;Fusion;STLA;STELLANTIS ORD;NL00150001Q9;2000.0;0;0.00;0.00;-;USD;-;0.00;USD
19-01-2021 17:02:23;00000000;Fusion;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;-2000.0;0;0.00;0.00;-;USD;-;0.00;USD
15-01-2021 16:11:24;00000000;Dividende;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;1.0;54.91;11.53;0.00;43.38;USD;43.38;433.22;USD
07-01-2021 12:24:59;79705626;Withdrawal;XBT;XBT;EX0X00XBT000;0.01435;0;0.00;0.00;-;USD;-;0.00;USD
06-01-2021 17:43:09;00000000;Forex-Gutschrift;;;;1.0;157.25;0.00;0.00;157.25;USD;157.25;389.84;USD
06-01-2021 17:43:09;00000000;Forex-Belastung;;;;1.0;140.00;0.00;0.00;-140.00;CHF;-140.00;220.27;CHF
01-01-2021 11:46:35;00000000;Zins;;;;1.0;0.27;0.00;0.00;-0.27;CHF;-0.27;360.27;CHF
01-01-2021 11:37:06;00000000;Zins;;;;1.0;4.72;0.00;0.00;-4.72;USD;-4.72;232.59;USD
01-01-2021 09:06:46;00000000;Zins;;;;1.0;0.01;0.00;0.00;-0.01;EUR;-0.01;1.29;EUR
31-12-2020 12:47:23;00000000;Depotgebühren;;;;1.0;36.22;2.79;0.00;-39.01;CHF;-39.01;360.54;CHF
31-12-2020 10:32:57;00000000;Dividende;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;1.0;24.98;0.00;0.00;24.98;USD;24.98;237.31;USD
